_id,date,beds_icu_total,beds_icu_occupied_beds_covid_19,bed_occupied_icu_non_covid,beds_available_icu_beds_total,vents_total,vents_all_in_use_covid_19,vents_non_covid_pts_on_vents,vents_all_available_vents_not_in_use,pct_beds_icu_occupied_beds_covid_19,pct_bed_occupied_icu_non_covid,pct_beds_available_icu_beds_total,pct_vents_all_in_use_covid_19,pct_vents_non_covid_pts_on_vents,pct_vents_all_available_vents_not_in_use
1,2020-04-08T00:00:00,2981,829,881,1271,2756,501,351,1904,27.809999999999998721023075631819665431976318359375,29.550000000000000710542735760100185871124267578125,42.6400000000000005684341886080801486968994140625,18.17999999999999971578290569595992565155029296875,12.7400000000000002131628207280300557613372802734375,69.090000000000003410605131648480892181396484375
2,2020-04-09T00:00:00,2947,856,872,1219,2758,476,391,1891,29.050000000000000710542735760100185871124267578125,29.589999999999999857891452847979962825775146484375,41.3599999999999994315658113919198513031005859375,17.260000000000001563194018672220408916473388671875,14.17999999999999971578290569595992565155029296875,68.56000000000000227373675443232059478759765625
3,2020-04-10T00:00:00,2919,781,860,1278,2905,480,353,2072,26.760000000000001563194018672220408916473388671875,29.46000000000000085265128291212022304534912109375,43.780000000000001136868377216160297393798828125,16.519999999999999573674358543939888477325439453125,12.1500000000000003552713678800500929355621337890625,71.3299999999999982946974341757595539093017578125
4,2020-04-11T00:00:00,2960,726,920,1314,2872,464,315,2093,24.530000000000001136868377216160297393798828125,31.0799999999999982946974341757595539093017578125,44.3900000000000005684341886080801486968994140625,16.160000000000000142108547152020037174224853515625,10.9700000000000006394884621840901672840118408203125,72.8799999999999954525264911353588104248046875
5,2020-04-12T00:00:00,2908,719,853,1336,2921,440,308,2173,24.719999999999998863131622783839702606201171875,29.3299999999999982946974341757595539093017578125,45.93999999999999772626324556767940521240234375,15.0600000000000004973799150320701301097869873046875,10.53999999999999914734871708787977695465087890625,74.3900000000000005684341886080801486968994140625
6,2020-04-13T00:00:00,2920,721,848,1351,2926,437,309,2180,24.690000000000001278976924368180334568023681640625,29.03999999999999914734871708787977695465087890625,46.27000000000000312638803734444081783294677734375,14.9399999999999995026200849679298698902130126953125,10.5600000000000004973799150320701301097869873046875,74.5
7,2020-04-14T00:00:00,2948,738,868,1342,2895,424,331,2140,25.030000000000001136868377216160297393798828125,29.440000000000001278976924368180334568023681640625,45.52000000000000312638803734444081783294677734375,14.6500000000000003552713678800500929355621337890625,11.42999999999999971578290569595992565155029296875,73.9200000000000017053025658242404460906982421875
8,2020-04-15T00:00:00,2926,696,924,1306,2961,427,297,2237,23.78999999999999914734871708787977695465087890625,31.5799999999999982946974341757595539093017578125,44.63000000000000255795384873636066913604736328125,14.4199999999999999289457264239899814128875732421875,10.0299999999999993605115378159098327159881591796875,75.5499999999999971578290569595992565155029296875
9,2020-04-16T00:00:00,2915,639,918,1358,3027,417,326,2284,21.9200000000000017053025658242404460906982421875,31.489999999999998436805981327779591083526611328125,46.590000000000003410605131648480892181396484375,13.7799999999999993605115378159098327159881591796875,10.769999999999999573674358543939888477325439453125,75.4500000000000028421709430404007434844970703125
10,2020-04-17T00:00:00,2837,663,825,1349,3080,359,334,2387,23.370000000000000994759830064140260219573974609375,29.0799999999999982946974341757595539093017578125,47.5499999999999971578290569595992565155029296875,11.660000000000000142108547152020037174224853515625,10.839999999999999857891452847979962825775146484375,77.5
